stock_name,user_name,video_id,followers,views,likes,comments,shares
 (APP),invest.stocks,6940636428133076230,109000,5445,459,17,17
 (BTC),stocksfeed,6939731961762073862,71900,5836,336,11,19
 (BTC),thestockhub,6940676520700660997,73900,19800,1504,36,40
 (BTC),investodaily,6940708690198564102,13400,1747,50,2,10
 (BTC),rudaman,6940408257823444230,3465,2012,96,4,10
 (CHAT),noremacnewelltrading,6938455267466038534,30500,7353,137,43,4
 (COIN),bullishbetter,6940610783705435398,46600,4716,229,56,35
 (DAY),surgeyyyy,6929638914747632901,283600,144700,19700,836,96
 (DAY),stockswings,6940030483480759557,61600,3929,136,18,6
 (FULL),coincapital,6935149838841531653,3563,240,15,0,3
 (GREY),coincapital,6935149838841531653,3563,240,15,0,3
 (IN),sky_trades,6940866911785749765,81400,873,25,0,0
 (IN),investwithruss,6940684504789011718,90800,58100,2087,136,94
 (IV),mainstreetwolf,6940774618357714181,257300,2193,165,10,3
 (JEFF),stockstrader,6924867648434097414,5441,370,8,1,0
 (JOIN),noremacnewelltrading,6938455267466038534,30500,7353,137,43,4
 (ME),stockstv,6896942242049674501,2377,627,15,4,0
 (ME),tikstockkam,6940244739056782598,8341,2534,63,26,0
 (ME),brotherhood.finance,6938405182166355206,14300,2456,240,19,22
 (NASDAQ),greentradesonly,6940675157652442373,20100,1220,44,5,2
 (NEWS),stockinvestors,6935593005105548549,22100,2580,59,10,15
 (NFT),investodaily,6940708690198564102,13400,1747,50,2,10
 (NFT),theonlynaklas,6940406762407349510,86600,23200,1586,78,429
 (ONES),spacs.ai,6932620674951384326,28100,2976,119,34,40
 (PAID),llamas1115,6940026359137766662,803,178,6,10,2
 (PAID),rudaman,6940408257823444230,3465,2012,96,4,10
 (TAB),llamas1115,6940026359137766662,803,178,6,10,2
 (THEM),stockswallet,6940728029555461381,16800,4048,213,13,32
 (THIS),stockrogue,6932552320605605125,42300,3176,81,13,2
 (THIS),bullishbetter,6940610783705435398,46600,4716,229,56,35
 (THIS),stocktalk76,6940728487980354821,45100,1712,56,7,3
 (THIS),coletrades,6939292324946119941,3530,1454,17,7,0
 (THIS),mok.investments,6940424674245479686,4423,2368,39,15,7
 (THIS),thelaptoplegend,6934173585376431365,128900,7557,502,23,8
 (THIS),markettrader_official,6940705243218939141,279700,7236,353,19,16
 (TILL),thetaclub,6929260998390041862,2320,2934,30,6,23
